fips_code,population
19051,
19051,8781
19053,
19053,8263
19055,17398
19055,
19057,40255
19057,
19059,
19059,16935
19061,96370
19061,
19063,
19063,9990
19065,
19065,20343
19067,
19067,16077
19069,10436
19069,
19071,7022
19071,
19073,
19073,9200
19075,12375
19075,
19077,
19077,10722
19079,
19079,15117
19081,
19081,11027
19083,
19083,17311
19085,
19085,14324
19087,
19087,20217
19089,
19089,9449
19091,
19091,9640
19093,
19093,7042
19095,
19095,16375
19097,
19097,19482
19099,
19099,36872
19101,
19101,17325
19103,142287
19103,
19105,20454
19105,
19107,
19107,10231
19109,
19109,15222
19111,35286
19111,
19113,
19113,217751
19115,11161
19115,
19117,
19117,8701
19119,
19119,11683
19121,
19121,15609
19123,
19123,22370
19125,
19125,33365
19127,40866
19127,
19129,14831
19129,
19131,
19131,10779
19133,8996
19133,
19135,
19135,8001
19137,10421
19137,
19139,
19139,42903
19141,
19141,14056
19143,
19143,6218
19145,
19145,15496
19147,
19147,9099
19149,
19149,24874
19151,
19151,7138
19153,
19153,459862
19155,
19155,93128
19157,
19157,18668
19159,
19159,5051
19161,10035
19161,
19163,
19163,171387
19165,11948
19165,
19167,
19167,34681
19169,
19169,94073
19171,17451
19171,
19173,
19173,6143
19175,
19175,12516
19177,
19177,7468
19179,
19179,35212
19181,47956
19181,
19183,22070
19183,
19185,
19185,6395
19187,36955
19187,
19189,10559
19189,
19191,
19191,20768
19193,102271
19193,
19195,7624
19195,
19197,12840
19197,
20000,
20001,
20001,12909
20003,
20003,7883
20005,
20005,16513
20007,4897
20007,
20009,27385
20009,
20011,14772
20011,
20013,
20013,9815
20015,66227
20015,
20017,2692
20017,
20019,
20019,3481
20021,
20021,20787
20023,2693
20023,
20025,
20025,2144
20027,8317
20027,
20029,
20029,9385
20031,8433
20031,
20033,
20033,1954
20035,
20035,35963
20037,
20037,39290
20039,2908
20039,
20041,
20041,19394
20043,
20043,7874
20045,
20045,116585
20047,
20047,3030
20049,
20049,2694
20051,29013
20051,
20053,
20053,6392
20055,
20055,37184
20057,34795
20057,
20059,25611
20059,
20061,
20061,36713
20063,2727
20063,
20065,2566
20065,
20067,7816
20067,
20069,6082
20069,
20071,1301
20071,
20073,6328
20073,
20075,2603
20075,
20077,
20077,5818
20079,
20079,34820
20081,
20081,4106
20083,
20083,1916
20085,13539
20085,
20087,
20087,18855
20089,
20089,3043
20091,
20091,574272
20093,3915
20093,
20095,7698
20095,
20097,2513
20097,
20099,
20099,20960
20101,
20101,1687
20103,
20103,78797
20105,3167
20105,
20107,
20107,9502
20109,
20109,2794
20111,
20111,33212
20113,
20113,29241
20115,
20115,12208
20117,10006
20117,
20119,4357
20119,
20121,32822
20121,
20123,
20123,6284
20125,34065
20125,
20127,5698
20127,
20129,
20129,3110
20131,
20131,10148
20133,
20133,16416
20135,3105
20135,
20137,5560
20137,
20139,
20139,15936
20141,
20141,3756
20143,6065
20143,
20145,6916
20145,
20147,5533
20147,
20149,
20149,22897
20151,
20151,9850
20153,
20153,2584
20155,
20155,63794
20157,
20157,4803
20159,
20159,10015
20161,75194
20161,
20163,
20163,5155
20165,3197
20165,
20167,6956
20167,
20169,55755
20169,
20171,
20171,5080
20173,508803
20173,
20175,
20175,23465
20177,
20177,178406
20179,
20179,2539
20181,
20181,6110
20183,
20183,3769
20185,4297
20185,
20187,
20187,2111
20189,
20189,5801
20191,
20191,23528
20193,
20193,7891
20195,
20195,2902
20197,7022
20197,
20199,
20199,1506
20201,
20201,5598
20203,
20203,2176
20205,
20205,9028
20207,
20207,3157
20209,161636
20209,
21000,
21001,19204
21001,
21003,20384
21003,
21005,21888
21005,
21007,8240
21007,
21009,
21009,43148
21011,
21011,12206
21013,27778
21013,
21015,126413
21015,
21017,
21017,19972
21019,48832
21019,
21021,
21021,29706
21023,
21023,8406
21025,13409
21025,
21027,
21027,19888
21029,
21029,77955
21031,
21031,12875
21033,12725
21033,
21035,38282
21035,
21037,91833
21037,
21039,4978
21039,
21041,
21041,10815
21043,27223
21043,
21045,
21045,15891
21047,74250
21047,
21049,
21049,35758
21051,21147
21051,
21053,
21053,10165
21055,9224
21055,
21057,6745
21057,
21059,
21059,98275
21061,12013
21061,
21063,7672
21063,
21065,
21065,14447
21067,
21067,310797
21069,
21069,14545
21071,38108
21071,
21073,
21073,49880
21075,6265
21075,
21077,8589
21077,
21079,
21079,16858
21081,24875
21081,
21083,
21083,37618
21085,
21085,26194
21087,
21087,11043
21089,
21089,36308
21091,
21091,8753
21093,108266
21093,
21095,
21095,28163
21097,
21097,18592
21099,
21099,18597
21101,46467
21101,
21103,15572
21103,
21105,
21105,4734
21107,46376
21107,
21109,
21109,13289
21111,760026
21111,
21113,50815
21113,
21115,
21115,23262
21117,
21117,163929
21119,15892
21119,
21121,31798
21121,
21123,
21123,14180
21125,60015
21125,
21127,15804
21127,
21129,7594
21129,
21131,
21131,10918
21133,
21133,23359
21135,
21135,13880
21137,24445
21137,
21139,9359
21139,
21141,26867
21141,
21143,
21143,8430
21145,
21145,65316
21147,17863
21147,
21149,
21149,9478
21151,
21151,87340
21153,12913
21153,
21155,20007
21155,
21157,
21157,30953
21159,
21159,12537
21161,17166
21161,
21163,
21163,29139
21165,6287
21165,
21167,21319
21167,
21169,9990
21169,
21171,
21171,10704
21173,
21173,27474
21175,
21175,13303
21177,
21177,31207
21179,44812
21179,
21181,7041
21181,
21183,23977
21183,
21185,63490
21185,
21187,
21187,10645
21189,
21189,4508
21191,14493
21191,
21193,27597
21193,
21195,
21195,63034
21197,12434
21197,
21199,
21199,63825
21201,
21201,2197
21203,
21203,16826
21205,
21205,23655
21207,
21207,17774
21209,51284
21209,
21211,
21211,44875
21213,
21213,17826
21215,17668
21215,
21217,
21217,25257
21219,12520
21219,
21221,14142
21221,
21223,
21223,8786
21225,
21225,15165
21227,120460
21227,
21229,11959
21229,
21231,
21231,20486
21233,13236
21233,
21235,
21235,35503
21237,7214
21237,
21239,
21239,25563
22000,
22001,
22001,62486
22003,
22003,25713
22005,117029
22005,
22007,23034
22007,
22009,
22009,41145
22011,36198
22011,
22013,
22013,13885
22015,
22015,125064
22017,252603
22017,
22019,197204
22019,
22021,
22021,9894
22023,6679
22023,
22025,10151
22025,
22027,
22027,16412
22029,
22029,20466
22031,
22031,27142
22033,
22033,446042
22035,7487
22035,
22037,19813
22037,
22039,
22039,33700
22041,20441
22041,
22043,22384
22043,
22045,73913
22045,
22047,
22047,33327
22049,15994
22049,
22051,435716
22051,
22053,
22053,31477
22055,235644
22055,
22057,
22057,98020
22059,
22059,14839
22061,
22061,47617
22063,
22063,135751
22065,
22065,11843
22067,26760
22067,
22069,39166
22069,
22071,
22071,384320
22073,156325
22073,
22075,
22075,23447
22077,22406
22077,
22079,
22079,132488
22081,
22081,8669
22083,
22083,20740
22085,
22085,24199
22087,
22087,44409
22089,
22089,52745
22091,
22091,10619
22093,
22093,21638
22095,43745
22095,
22097,83709
22097,
22099,53315
22099,
22101,
22101,53162
22103,
22103,245829
22105,127049
22105,
22107,
22107,4830
22109,113328
22109,
22111,22539
22111,
22113,59616
22113,
22115,52132
22115,
22117,
22117,46286
22119,
22119,40333
22121,
22121,25085
22123,11525
22123,
22125,
22125,15406
22127,
22127,14743
23000,
23001,107440
23001,
23003,69447
23003,
23005,
23005,287797
23007,
23007,30296
23009,
23009,54696
23011,121112
23011,
23013,39676
23013,
23015,
23015,34170
23017,
23017,57238
23019,153414
23019,
23021,17026
23021,
23023,
23023,35045
23025,
23025,51163
23027,39051
23027,
23029,
23029,31808
23031,200710
23031,
24000,
24001,72952
24001,
24003,
24003,560133
24005,826925
24005,
24009,
24009,90613
24011,
24011,32538
24013,167830
24013,
24015,102383
24015,
24017,154747
24017,
24019,
24019,32578
24021,243675
24021,
24023,
24023,29679
24025,
24025,250105
24027,
24027,309284
24029,
24029,19820
24031,1030447
24031,
24033,904430
24033,
24035,
24035,48804
24037,
24037,110382
24039,25859
24039,
24041,
24041,37643
24043,
24043,149573
24045,
24045,101539
24047,51675
24047,
24510,622793
24510,
25000,
25001,214914
25001,
25003,
25003,128715
25005,554194
25005,
25007,
25007,17356
25009,
25009,769091
25011,
25011,70862
25013,468161
25013,
25015,160939
25015,
25017,1570315
25017,
25019,10856
25019,
25021,
25021,692254
25023,
25023,507022
25025,
25025,767254
25027,813475
25027,
26000,
26001,
26001,10454
26003,
26003,9459
26005,
26005,113847
26007,
26007,28988
26009,23267
26009,
26011,
26011,15353
26013,
26013,8654
26015,59281
26015,
26017,106179
26017,
26019,17519
26019,
26021,
26021,155233
26023,43545
26023,
26025,
26025,134878
26027,
26027,51608
26029,26121
26029,
26031,25675
26031,
26033,
26033,38321
26035,
26035,30652
26037,77297
26037,
26039,13745
26039,
26041,36559
26041,
26043,
26043,25957
26045,
26045,108579
26047,33204
26047,
26049,412895
26049,
26051,25411
26051,
26053,15737
26053,
26055,
26055,90782
26057,41665
26057,
26059,45830
26059,
26061,
26061,36495
26063,32065
26063,
26065,
26065,284582
26067,
26067,64294
26069,
26069,25420
26071,11387
26071,
26073,
26073,70616
